"","iso3c","date","value","indicatorID","indicator","iso2c","country"
"109","CSS","2013",6007400,"ST.INT.ARVL","International tourism, number of arrivals","S3","Caribbean small states"
"110","CSS","2012",6029000,"ST.INT.ARVL","International tourism, number of arrivals","S3","Caribbean small states"
"111","CSS","2011",5849000,"ST.INT.ARVL","International tourism, number of arrivals","S3","Caribbean small states"
"112","CSS","2010",5704000,"ST.INT.ARVL","International tourism, number of arrivals","S3","Caribbean small states"
"113","CSS","2009",5479000,"ST.INT.ARVL","International tourism, number of arrivals","S3","Caribbean small states"
"114","CSS","2008",5746000,"ST.INT.ARVL","International tourism, number of arrivals","S3","Caribbean small states"
"115","CSS","2007",5778000,"ST.INT.ARVL","International tourism, number of arrivals","S3","Caribbean small states"
"116","CSS","2006",5814000,"ST.INT.ARVL","International tourism, number of arrivals","S3","Caribbean small states"
"117","CSS","2005",5591000,"ST.INT.ARVL","International tourism, number of arrivals","S3","Caribbean small states"
"118","CSS","2004",5425000,"ST.INT.ARVL","International tourism, number of arrivals","S3","Caribbean small states"
"119","CSS","2003",5105000,"ST.INT.ARVL","International tourism, number of arrivals","S3","Caribbean small states"
"120","CSS","2002",4844000,"ST.INT.ARVL","International tourism, number of arrivals","S3","Caribbean small states"
"121","CSS","2001",4850000,"ST.INT.ARVL","International tourism, number of arrivals","S3","Caribbean small states"
"122","CSS","2000",4991000,"ST.INT.ARVL","International tourism, number of arrivals","S3","Caribbean small states"
"123","EAR","2018",275587369.477646,"ST.INT.ARVL","International tourism, number of arrivals","V2","Early-demographic dividend"
"124","EAR","2017",246442870.180975,"ST.INT.ARVL","International tourism, number of arrivals","V2","Early-demographic dividend"
"125","EAR","2016",221364260.639297,"ST.INT.ARVL","International tourism, number of arrivals","V2","Early-demographic dividend"
"126","EAR","2015",227478950.711391,"ST.INT.ARVL","International tourism, number of arrivals","V2","Early-demographic dividend"
"127","EAR","2014",222524716.657863,"ST.INT.ARVL","International tourism, number of arrivals","V2","Early-demographic dividend"
"128","EAR","2013",198410843.906234,"ST.INT.ARVL","International tourism, number of arrivals","V2","Early-demographic dividend"
"129","EAR","2012",190286045.83377,"ST.INT.ARVL","International tourism, number of arrivals","V2","Early-demographic dividend"
"130","EAR","2011",177504436.8298,"ST.INT.ARVL","International tourism, number of arrivals","V2","Early-demographic dividend"
"131","EAR","2010",179010297.225811,"ST.INT.ARVL","International tourism, number of arrivals","V2","Early-demographic dividend"
"132","EAR","2009",159493839.444691,"ST.INT.ARVL","International tourism, number of arrivals","V2","Early-demographic dividend"
"133","EAR","2008",166902923.676417,"ST.INT.ARVL","International tourism, number of arrivals","V2","Early-demographic dividend"
"134","EAR","2007",151510944.301102,"ST.INT.ARVL","International tourism, number of arrivals","V2","Early-demographic dividend"
"135","EAR","2006",131644297.147053,"ST.INT.ARVL","International tourism, number of arrivals","V2","Early-demographic dividend"
"136","EAR","2005",124572419.896519,"ST.INT.ARVL","International tourism, number of arrivals","V2","Early-demographic dividend"
"137","EAR","2004",114699666.188523,"ST.INT.ARVL","International tourism, number of arrivals","V2","Early-demographic dividend"
"138","EAR","2003",98176232.4786697,"ST.INT.ARVL","International tourism, number of arrivals","V2","Early-demographic dividend"
